2, 11879, 109
1, 11880, 109
5, 11980, 110
6, 12049, 113
4, 12076, 110
3, 12094, 110
2, 12098, 110
1, 12099, 110
7, 12121, 131
8, 12121, 229
5, 12201, 111
6, 12276, 114
4, 12297, 111
3, 12315, 111
2, 12319, 111
1, 12320, 111
7, 12384, 132
5, 12424, 112
6, 12505, 115
4, 12520, 112
3, 12538, 112
2, 12542, 112
1, 12543, 112
8, 12580, 230
5, 12649, 113
7, 12649, 133
6, 12736, 116
4, 12745, 113
3, 12763, 113
2, 12767, 113
1, 12768, 113
5, 12876, 114
9, 12889, 613
7, 12916, 134
11, 12961, 6319
6, 12969, 117
4, 12972, 114
3, 12990, 114
2, 12994, 114
1, 12995, 114
8, 13041, 231
5, 13105, 115
7, 13185, 135
4, 13201, 115
6, 13204, 118
3, 13219, 115
2, 13223, 115
1, 13224, 115
5, 13336, 116
4, 13432, 116
6, 13441, 119
3, 13450, 116
2, 13454, 116
1, 13455, 116
7, 13456, 136
8, 13504, 232
5, 13569, 117
4, 13665, 117
6, 13680, 120
3, 13683, 117
2, 13687, 117
1, 13688, 117
7, 13729, 137
5, 13804, 118
4, 13900, 118
3, 13918, 118
6, 13921, 121
2, 13922, 118
1, 13923, 118
8, 13969, 233
7, 14004, 138
5, 14041, 119
9, 14116, 614
4, 14137, 119
3, 14155, 119
2, 14159, 119
1, 14160, 119
6, 14164, 122
5, 14280, 120
7, 14281, 139
4, 14376, 120
3, 14394, 120
2, 14398, 120
1, 14399, 120
6, 14409, 123
8, 14436, 234
5, 14521, 121
7, 14560, 140
4, 14617, 121
3, 14635, 121
2, 14639, 121
1, 14640, 121
6, 14656, 124
5, 14764, 122
7, 14841, 141
4, 14860, 122
3, 14878, 122
2, 14882, 122
1, 14883, 122
6, 14905, 125
8, 14905, 235
5, 15009, 123
4, 15105, 123
3, 15123, 123
7, 15124, 142
2, 15127, 123
1, 15128, 123
6, 15156, 126
5, 15256, 124
9, 15345, 615
4, 15352, 124
3, 15370, 124
2, 15374, 124
1, 15375, 124
8, 15376, 236
6, 15409, 127
7, 15409, 143
10, 15481, 1909
5, 15505, 125
4, 15601, 125
3, 15619, 125
2, 15623, 125
1, 15624, 125
6, 15664, 128
7, 15696, 144
5, 15756, 126
8, 15849, 237
4, 15852, 126
3, 15870, 126
2, 15874, 126
1, 15875, 126
6, 15921, 129
7, 15985, 145
5, 16009, 127
4, 16105, 127
3, 16123, 127
2, 16127, 127
1, 16128, 127
6, 16180, 130
5, 16264, 128
7, 16276, 146
8, 16324, 238
